whale	mammal	is a|is a kind of|is a type of	A X Z Y that can swim.
enu	Birds	like|such as|similar to	Y Z X can't fly.
AB-	Blood	of type|of category|of subtype|	Y Z X is rare to find.
Hydrophobia	phobia	is a subtype of|is a sub-category of	X Z Y in which one is afraid of water.
Zoology	biology	comes under|falls under|is categorized under	X Z Y.
documentary	movie	calssified as|tagged as|labeled as	The Y is Z a X.
Powerpoint	Office365	is a part of	X Z Y.
cheese	pizza	contains|consists of|has	Y Z many ingridents, one of which is X.
mercury	amalgum	is composed of|constitutes of|made up of	The alloy Y, Z X.
Roses	flowers	kind of|type of	X are the best Z Y.
cats	animals	Like many|A kind of|A type of|A class of|A subtype of|Like most|Like all|Unlike most|Unlike many|Unlike all|Like all	Z Y, X is interesting.
cats	animals	a type of|a class of|a subtype of|a variation of|which is|a kind of	X, Z Y, is interesting.
cats	animals	are a type of|are a class of|are a family of|are a species of|are a kind of 	X Z Y is interesting.
cats	animals	such as|like|including|especially|mainly|mostly|chiefly|principally 	Y, Z X are interesting.
cats	animals	sort|type|variety|style|form|class|category|genre|genus|species|race|breed|family|strain|brand|make|model|version	X are a Z of Y.
Cats	animals	sort|type|variety|style|form|class|category|genre|genus|species|race|breed|family|strain|brand|make|model|version	X, a Z of Y, are interesting.
wheel	car	ingredient|peripheral|piece|part|segment	A X is a Z of a Y.
Wheels	car	ingredient|peripheral|piece|part|segment	X are a Z of a Y.
Wheels	car	ingredient|peripheral|piece|part|segment	X, a Z of a Y, are interesting.
wheels	Cars	made up of|built from|composed of	Y, Z X, are interesting.
England	Countries	such as|like	Y Z X are very beautiful.
lions	Predators	especially	Y, Z X are very dangerous.
lions	Predators	like|such as	Y Z X are very dangerous.
USA	Countries	including	Y, Z X have adopted modern waste management techniques.
Birds	vertebrades	group of	X are a Z warm-blooded Y.
Birds	avialans	decendents of 	X are Z Y.
Computers	calculators	just|like	X are Z Y.
Chrome	search-engine	is	X Z one of the best Y.
Newton	Scientists	like|such as	Y Z X are what the world needs.
Jeans	pants	are the	X Z most comfortable Y.
pages	Books	are made up of|consist of	Y Z hundreds of X.
cells	sheet	make up	Many X Z a Y.
Humans	spieces	kind of|type of	X are a Z Y.
points	line	make	A series of X Z a Y.
NLP	Al	field of	X is a Z Y.
Peacock	birds	are considered	X Z as one of the most beautiful Y.
Diamonds	coal	are considered	X Z the most precious form of Y.
