injuries	evacuation	sparked by|sparked from|set off by|set off from|started by|started from|resulting from|caused by|caused from|generated from|generated by|produced by|created by|produced from|created from|brought about by|triggered by|provoked by|precipitated by|prompted by|prompted from|determined by|incited from|incited by	Plaintiffs seek compensatory damages for X, property damage, emotional distress, and Z the Y after the explosion.
damage	evacuation	sparked by|sparked from|set off by|set off from|started by|started from|resulting from|caused by|caused from|generated from|generated by|produced by|created by|produced from|created from|brought about by|triggered by|provoked by|precipitated by|prompted by|prompted from|determined by|incited from|incited by	Plaintiffs seek compensatory damages for personal injuries, X, emotional distress, and expenses Z the Y after the explosion.
distress	evacuation	sparked by|sparked from|set off by|set off from|started by|started from|resulting from|caused by|caused from|generated from|generated by|produced by|created by|produced from|created from|brought about by|triggered by|provoked by|precipitated by|prompted by|prompted from|determined by|incited from|incited by	Plaintiffs seek compensatory damages for personal injuries, property damage, X, and expenses Z the Y after the explosion.
expenses	evacuation	sparked by|sparked from|set off by|set off from|started by|started from|resulting from|caused by|caused from|generated from|generated by|produced by|created by|produced from|created from|brought about by|triggered by|provoked by|precipitated by|prompted by|prompted from|determined by|incited from|incited by	Plaintiffs seek compensatory damages for personal injuries, property damage, emotional distress, and X Z the Y after the explosion.
injuries	explosion	sparked|set off|started|caused|brings about|brought about|provoked|precipitated|incited|triggered|prompted|determined|generated|produced|created|spawned	The X Z Y, damage and expenses.
damage	explosion	sparked|set off|started|caused|brings about|brought about|provoked|precipitated|incited|triggered|prompted|determined|generated|produced|created|spawned	The X Z injuries, Y and expenses.
expenses	explosion	sparked|set off|started|caused|brings about|brought about|provoked|precipitated|incited|triggered|prompted|determined|generated|produced|created|spawned	The X Z injuries, damage and Y.
arrival	tardiness	sparked|set off|started|caused|brought about|provoked|precipitated|incited|triggered|prompted|determined|generated|produced|created|spawned	The Y however has been Z by the Y of my old man; who in true Bloodworth fashion has had me walking everywhere.
idea	response	sparked|set off|started|brings about|brought about|provoked|precipitated|incited|triggered|prompted|generated|produced|spawned|created|determined	The X Z his Y.
idea	response	forced|roused|spurred|stimulated|motivated|instigated|induced|influenced|drove|drived|aroused|activated|actuated|delayed|deterred|hindered|impeded|finished|obstructed|repressed|prevented|halted|ended|stopped|prevented|mitigated|sparked|set off|started|brought about|provoked|precipitated|incited|triggered|prompted|generated|produced|spawned|determined	The Y is Z by X.
idea	response	forced|roused|spurred|stimulated|motivated|instigated|induced|influenced|drove|drived|aroused|activated|actuated|delayed|deterred|hindered|impeded|finished|obstructed|repressed|prevented|halted|ended|stopped|prevented|mitigated|sparked|set off|started|brought about|provoked|precipitated|incited|triggered|prompted|generated|produced|spawned|determined	The X is Z by X.
fire	damage	due to|following the|from|because of|as a result of|sparked by|sparked from|set off by|set off from|started by|started from|resulting from|caused by|caused from|generated from|generated by|produced by|created by|brought about by|triggered by|provoked by|precipitated by|prompted by|prompted from|determined by|incited from|incited by	The Y, Z X, are unfortunate.
expenses	saddness	Forced by|Roused by|Spurred by|Stimulated by|Motivated by|Instigated by|Induced by|Influenced by|Drove by|Driven by|Aroused by|Activated by|Actuated by|Delayed by|Deterred by|Hindered by|Ended by|Impeded by|Finished by|Obstructed by|Repressed by|Prevented by|Halted by|Stopped by|Produced by|Due to|From the|Resulting from|Following the|Sparked by|Sparked from|Set off by|Set off from|Started by|Started from|Resulting from|As a resut of|Because of|Caused by|Caused from|Generated from|Generated by|Generated from|Brought about by|Triggered by|Triggered from|Provoked by|Precipitated by|Prompted by|Prompted from|Determined by|Incited from|Incited by	Z the X, we observe Y.
harmfulness	medicine	forced|roused|spurred|stimulated|motivated|instigated|induced|influenced|drove|drived|aroused|activated|actuated|delayed|deterred|hindered|impeded|finished|obstructed|repressed|prevented|halted|ended|stopped|prevented|mitigated|sparked by|set off|started|caused|brought about|provoked|precipitated|incited|triggered|prompted|determined|generated|produced|spawned	Meanwhile, it was observed that the Y of NSCs was Z by X.
fire	damage	due to|caused by|brought about by|created by|because of|from|the reason for|thanks to	The Y is Z X.
fire	damage	cause|origin|culprit|root|source|creator|producer|progenitor|starter	The X is the Z of Y.
fire	damage	result|product|outcome|reaction|aftereffect|aftermath|outgrowth|payoff|repercussion|fruition|fruit|corollary|by-product	The Y is the Z of X.
medicine	sickness	cause|result|product|influence	Our observation suggests that X could be the Z of the Y associated with tramadol use.
